Date,Open,High,Low,Close,Volume
2022-06-06,7.78,7.78,7.5,7.7,447819
2022-06-03,7.73,7.75,7.59,7.74,410979
2022-06-02,7.57,7.91,7.561,7.86,379238
2022-06-01,7.69,7.87,7.52,7.56,516990
2022-05-31,7.64,7.99,7.595,7.7,565202
2022-05-27,7.56,7.72,7.44,7.5,472121
2022-05-26,7.29,7.65,7.26,7.49,1062824
2022-05-25,6.75,7.25,6.75,7.13,881504
2022-05-24,7.0,7.06,6.7518,6.79,499312
2022-05-23,7.9,8.06,7.08,7.16,764082
2022-05-20,8.0,8.025,7.57,7.9,661555
2022-05-19,7.52,8.086,7.52,7.89,881910
2022-05-18,7.875,8.1103,7.52,7.72,1797443
2022-05-17,7.43,7.6,7.13,7.21,1960410
2022-05-16,7.2,7.485,7.17,7.32,724469
2022-05-13,7.2,7.42,7.11,7.38,541560
2022-05-12,6.78,7.06,6.7,7.02,439560
2022-05-11,7.32,7.41,6.79,6.83,377098
2022-05-10,7.59,7.65,7.26,7.31,470068
2022-05-09,7.7,7.93,7.52,7.57,431295
2022-05-06,7.81,7.88,7.46,7.79,279203
2022-05-05,8.08,8.1,7.6401,7.76,331479
2022-05-04,8.09,8.26,7.84,8.23,368465
2022-05-03,8.06,8.24,7.93,8.11,523530
2022-05-02,7.62,8.07,7.58,8.05,347497
2022-04-29,7.66,7.87,7.59,7.65,259760
2022-04-28,7.52,7.71,7.37,7.68,227375
2022-04-27,7.49,7.615,7.395,7.47,270301
2022-04-26,7.79,7.84,7.5,7.53,303469
2022-04-25,7.6,7.87,7.52,7.86,301976
2022-04-22,7.89,7.89,7.64,7.69,301402
2022-04-21,8.14,8.14,7.83,7.9,285285
2022-04-20,8.29,8.3,7.97,7.99,163037
2022-04-19,8.08,8.31,7.97,8.16,314148
2022-04-18,8.3,8.32,7.92,8.01,432818
2022-04-14,8.23,8.57,8.13,8.28,373873
2022-04-13,7.74,8.18,7.71,8.17,559253
2022-04-12,7.95,8.141,7.665,7.71,316648
2022-04-11,7.79,8.04,7.69,7.86,384901
2022-04-08,7.82,8.055,7.77,7.81,269116
2022-04-07,8.02,8.12,7.6,7.79,503848
2022-04-06,8.05,8.11,7.8997,8.07,399025
2022-04-05,8.38,8.45,8.12,8.21,285710
2022-04-04,8.12,8.39,8.1,8.31,408175
2022-04-01,8.19,8.33,8.09,8.12,430671
2022-03-31,8.21,8.23,7.92,8.17,643371
2022-03-30,8.62,8.64,8.1514,8.18,618718
2022-03-29,8.5,8.93,8.5,8.67,722255
2022-03-28,8.12,8.44,8.03,8.42,663958
2022-03-25,8.16,8.26,8.045,8.09,387473
2022-03-24,8.21,8.24,8.08,8.16,291215
2022-03-23,8.25,8.42,8.11,8.17,319886
2022-03-22,8.28,8.39,8.18,8.34,582879
2022-03-21,8.55,8.55,8.15,8.23,346372
2022-03-18,8.47,8.72,8.4,8.59,607133
2022-03-17,8.28,8.56,8.2401,8.55,458791
2022-03-16,8.06,8.38,8.0,8.3,572596
2022-03-15,7.86,8.0499,7.82,7.99,381915
2022-03-14,8.04,8.04,7.73,7.83,427042
2022-03-11,8.43,8.48,7.92,7.93,483172
2022-03-10,8.48,8.645,8.35,8.41,651950
2022-03-09,8.46,8.79,8.34,8.61,563858
2022-03-08,7.97,8.37,7.95,8.25,1038952
2022-03-07,8.37,8.37,7.97,7.99,503085
2022-03-04,8.72,8.74,8.22,8.35,298471
2022-03-03,8.68,8.91,8.61,8.72,761869
2022-03-02,8.67,8.718,8.49,8.59,731669
2022-03-01,8.71,8.88,8.545,8.64,528827
2022-02-28,8.34,8.83,8.34,8.83,460752
2022-02-25,8.21,8.41,8.1925,8.37,407882
2022-02-24,7.87,8.34,7.82,8.32,715028
2022-02-23,8.28,8.4285,8.01,8.08,526042
2022-02-22,8.46,8.64,8.19,8.23,640675
2022-02-18,8.79,8.92,8.51,8.56,679758
2022-02-17,9.04,9.13,8.825,8.9,454913
2022-02-16,9.1,9.31,8.93,9.08,838587
2022-02-15,8.85,9.03,8.61,9.03,1211479
2022-02-14,8.58,8.99,8.58,8.78,1151903
2022-02-11,8.47,8.77,8.42,8.63,2065727
2022-02-10,8.02,8.38,7.96,8.05,1757427
2022-02-09,8.2,8.72,7.8,8.13,6846249
2022-02-08,9.96,10.64,9.925,10.53,1117378
2022-02-07,9.98,10.24,9.91,9.94,672677
2022-02-04,9.56,10.01,9.44,9.93,714376
2022-02-03,9.81,9.89,9.55,9.63,468111
2022-02-02,10.11,10.35,9.84,10.01,574154
2022-02-01,10.14,10.24,9.89,10.18,436148
2022-01-31,9.74,10.2,9.64,10.2,467548
2022-01-28,9.72,9.83,9.34,9.82,547683
2022-01-27,10.13,10.24,9.66,9.78,432128
2022-01-26,10.75,10.77,9.96,9.97,729308
2022-01-25,10.26,10.75,10.17,10.57,546326
2022-01-24,9.52,10.49,9.44,10.43,771407
2022-01-21,10.06,10.13,9.73,9.79,670651
2022-01-20,10.45,10.75,10.15,10.17,700993
2022-01-19,10.2,10.47,10.17,10.35,360820
2022-01-18,10.45,10.5,10.17,10.17,376052
2022-01-14,10.5,10.75,10.285,10.6,476011
2022-01-13,10.8,11.0,10.7,10.72,353286
2022-01-12,11.04,11.1,10.74,10.76,402146
2022-01-11,11.0,11.085,10.735,11.0,637822
2022-01-10,11.07,11.075,10.77,10.86,756134
2022-01-07,11.3,11.55,11.09,11.2,515729
2022-01-06,11.26,11.58,11.02,11.35,633517
2022-01-05,11.49,11.49,10.92,10.99,944114
2022-01-04,11.21,11.53,11.15,11.46,987435
2022-01-03,10.18,11.31,10.14,11.21,1713301
2021-12-31,10.1,10.12,9.9,9.98,850712
2021-12-30,10.04,10.35,10.0,10.1,947082
2021-12-29,10.24,10.27,10.06,10.1,444835
2021-12-28,10.2,10.49,10.2,10.25,379677
2021-12-27,10.02,10.36,10.02,10.29,710035
2021-12-23,10.0,10.115,9.8932,9.99,680623
2021-12-22,10.11,10.25,9.9,9.94,394251
2021-12-21,9.84,10.17,9.81,10.03,815866
2021-12-20,9.86,9.97,9.42,9.73,758437
2021-12-17,10.04,10.29,9.72,10.13,521762
2021-12-16,10.98,10.98,10.02,10.06,538323
2021-12-15,10.75,10.84,10.275,10.84,419580
2021-12-14,10.73,10.96,10.73,10.84,316965
2021-12-13,11.0,11.05,10.65,10.85,565934
2021-12-10,11.31,11.35,10.93,11.1,401836
2021-12-09,11.55,11.7,11.24,11.25,240015
2021-12-08,11.73,11.75,11.5,11.64,296582
2021-12-07,11.62,11.93,11.54,11.68,270398
2021-12-06,11.11,11.6,10.901,11.35,386818
2021-12-03,11.57,11.57,11.04,11.15,412467
2021-12-02,11.32,11.57,11.23,11.55,642995
2021-12-01,11.98,12.18,11.23,11.26,486826
2021-11-30,11.85,12.09,11.52,11.63,553811
2021-11-29,12.48,12.48,11.89,11.98,412420
2021-11-26,12.21,12.4,11.93,12.24,312500
2021-11-24,12.62,12.98,12.33,12.67,287714
2021-11-23,12.82,13.0,12.42,12.79,515960
2021-11-22,12.85,13.18,12.72,12.95,416945
2021-11-19,12.93,13.02,12.78,12.82,314573
2021-11-18,13.01,13.15,12.64,13.09,405620
2021-11-17,13.02,13.299,12.8,13.0,404111
2021-11-16,13.06,13.17,12.95,13.14,441105
2021-11-15,13.49,13.579,12.971,13.06,337210
2021-11-12,13.18,13.52,13.16,13.46,312528
2021-11-11,13.3,13.42,13.06,13.18,372359
2021-11-10,13.52,13.6,13.16,13.33,515192
2021-11-09,13.63,13.975,13.32,13.61,532697
2021-11-08,13.66,14.0,13.295,13.66,882923
2021-11-05,13.79,14.05,13.6,13.7,1228627
2021-11-04,13.7,13.87,13.2,13.62,996622
2021-11-03,12.04,14.25,11.92,13.64,4395301
2021-11-02,11.5,11.61,11.29,11.4,746081
2021-11-01,11.19,11.59,11.1,11.51,956698
2021-10-29,10.91,11.15,10.77,11.06,684312
2021-10-28,10.485,10.94,10.36,10.9,430223
2021-10-27,10.38,10.52,10.035,10.45,731646
2021-10-26,10.925,11.0,10.3,10.36,350044
2021-10-25,10.66,10.93,10.63,10.9,301993
2021-10-22,10.84,10.86,10.52,10.67,444054
2021-10-21,10.5,10.92,10.38,10.85,550896
2021-10-20,10.12,10.75,10.12,10.5,577684
2021-10-19,10.13,10.42,10.13,10.2,493599
2021-10-18,10.05,10.354,9.97,10.27,332605
2021-10-15,10.03,10.205,9.93,10.12,461528
2021-10-14,9.89,10.015,9.76,9.9,350397
2021-10-13,9.94,9.94,9.73,9.84,257720
2021-10-12,10.06,10.07,9.75,9.88,433304
2021-10-11,10.15,10.2,9.9215,9.97,205058
2021-10-08,10.26,10.29,9.87,10.03,329980
2021-10-07,10.08,10.31,10.0401,10.27,432563
2021-10-06,10.07,10.3,9.865,9.9,433541
2021-10-05,10.09,10.3,9.99,10.23,510738
2021-10-04,9.94,10.0441,9.62,9.98,517671
2021-10-01,9.57,10.1198,9.25,9.95,921001
2021-09-30,11.08,11.08,9.48,9.52,1633925
2021-09-29,11.0,11.23,10.89,11.15,277180
2021-09-28,11.14,11.3,10.92,10.94,330398
2021-09-27,11.04,11.315,11.035,11.21,455919
2021-09-24,10.74,11.02,10.6,10.99,435377
2021-09-23,10.69,11.09,10.66,10.86,324437
2021-09-22,10.43,10.74,10.41,10.61,261683
2021-09-21,10.45,10.59,10.2,10.47,384228
2021-09-20,10.49,10.73,10.17,10.38,704483
2021-09-17,10.8,11.0399,10.8,10.83,850457
2021-09-16,10.75,11.09,10.72,10.83,330452
2021-09-15,10.65,10.82,10.62,10.8,271083
2021-09-14,10.99,11.0,10.595,10.69,275173
2021-09-13,11.18,11.21,10.89,11.0,426319
2021-09-10,11.33,11.5418,11.12,11.13,344583
2021-09-09,10.78,11.345,10.73,11.21,366383
2021-09-08,11.0,11.0,10.59,10.76,439735
2021-09-07,11.35,11.61,11.0,11.04,331519
2021-09-03,11.32,11.47,11.1093,11.41,404243
2021-09-02,11.66,11.76,11.38,11.4,469673
2021-09-01,11.59,11.6854,11.38,11.55,325009
2021-08-31,12.04,12.12,11.38,11.6,566839
2021-08-30,11.9,12.4113,11.9,12.22,643711
2021-08-27,11.56,11.8,11.49,11.76,445667
2021-08-26,11.53,11.64,11.33,11.56,335340
2021-08-25,11.35,11.63,11.315,11.6,435215
2021-08-24,10.94,11.53,10.81,11.35,490525
2021-08-23,10.8,11.15,10.605,10.88,509659
2021-08-20,10.46,10.95,10.33,10.79,530952
2021-08-19,10.52,10.8,10.43,10.55,533978
2021-08-18,10.95,11.1,10.64,10.66,751706
2021-08-17,11.46,11.69,10.8415,11.0,610690
2021-08-16,12.0,12.15,11.6,11.65,461498
2021-08-13,12.185,12.28,12.01,12.09,512293
2021-08-12,12.32,12.54,12.12,12.19,509410
2021-08-11,12.25,12.38,11.79,12.3,578836
2021-08-10,11.65,12.4117,11.61,12.23,933063
2021-08-09,11.24,11.91,11.0336,11.49,967688
2021-08-06,11.35,11.52,11.03,11.21,417883
2021-08-05,11.03,11.58,10.83,11.33,460300
2021-08-04,11.84,11.85,10.3,10.98,1372919
2021-08-03,10.76,11.07,10.35,11.06,615595
2021-08-02,10.68,10.94,10.55,10.68,656397
2021-07-30,10.31,10.57,10.3,10.52,443029
2021-07-29,10.54,10.65,10.39,10.41,338127
2021-07-28,10.56,10.7124,10.32,10.44,347413
2021-07-27,10.6,10.6,10.22,10.5,342683
2021-07-26,10.69,10.84,10.46,10.62,361475
2021-07-23,10.78,10.94,10.6,10.69,369323
2021-07-22,10.92,10.935,10.44,10.66,483774
2021-07-21,10.97,11.25,10.91,10.99,400149
2021-07-20,10.6,10.97,10.44,10.95,486489
2021-07-19,10.16,10.68,10.03,10.5,1046030
2021-07-16,11.04,11.14,10.4,10.47,709118
2021-07-15,10.98,11.18,10.7,10.95,547269
2021-07-14,11.4,11.5,11.0,11.09,587457
2021-07-13,11.78,11.82,11.2,11.21,416372
2021-07-12,11.76,11.8,11.53,11.79,464597
2021-07-09,11.79,12.04,11.67,11.82,393601
2021-07-08,11.62,11.69,11.16,11.57,686078
2021-07-07,12.17,12.32,11.921,11.94,439726
2021-07-06,12.74,12.77,12.17,12.32,587465
2021-07-02,13.26,13.26,12.67,12.81,524251
2021-07-01,13.15,13.35,12.845,13.1,662404
2021-06-30,12.88,13.33,12.88,13.04,792007
2021-06-29,12.89,13.17,12.66,12.99,539803
2021-06-28,13.205,13.205,12.56,12.85,718199
2021-06-25,12.89,13.38,12.75,13.22,984366
2021-06-24,12.82,13.19,12.63,12.85,719443
2021-06-23,12.38,12.7,12.33,12.6,359378
2021-06-22,12.41,12.4947,12.04,12.37,679316
2021-06-21,12.36,12.63,12.26,12.41,588773
2021-06-18,12.58,12.73,12.095,12.2,913859
2021-06-17,12.95,13.13,12.58,12.77,483421
2021-06-16,12.9,12.97,12.46,12.92,441397
2021-06-15,13.41,13.44,12.91,13.05,377164
2021-06-14,13.84,14.0,13.435,13.49,442968
2021-06-11,13.69,14.0,13.6,13.85,620314
2021-06-10,13.79,13.95,13.42,13.63,675552
2021-06-09,13.81,14.0,13.5782,13.82,729726
2021-06-08,13.66,14.0,13.54,13.86,674847
2021-06-07,13.13,13.57,13.13,13.5,558778
2021-06-04,13.1,13.16,12.9,13.05,480150
2021-06-03,13.25,13.25,12.9,12.99,553347
2021-06-02,13.34,13.66,13.06,13.46,645951
2021-06-01,13.65,13.82,13.21,13.22,601498
2021-05-28,14.13,14.14,13.47,13.56,534542
2021-05-27,13.94,14.05,13.4001,13.97,1161627
2021-05-26,13.04,13.96,13.0,13.79,1141711
2021-05-25,12.96,13.31,12.86,12.9,923118
2021-05-24,13.49,13.5,12.55,12.84,1002435
2021-05-21,12.99,13.76,12.75,13.42,1905316
2021-05-20,11.85,12.54,11.8,12.32,1081910
2021-05-19,12.7,12.9899,11.43,11.65,2512703
2021-05-18,13.41,13.46,12.71,13.1,1684505
2021-05-17,13.42,13.9,13.04,13.26,531907
2021-05-14,13.22,13.7,13.14,13.53,550267
2021-05-13,13.0,13.42,12.67,13.01,615357
2021-05-12,13.25,13.368,12.74,12.84,1001296
2021-05-11,12.77,13.51,12.5,13.49,738255
2021-05-10,13.41,13.55,13.08,13.2,579194
2021-05-07,13.27,13.69,13.16,13.62,638295
2021-05-06,12.81,13.3,12.68,13.23,813324
2021-05-05,13.4,13.4,12.46,12.64,618414
2021-05-04,13.31,13.45,12.76,13.23,877160
2021-05-03,14.26,14.48,13.31,13.48,1838439
2021-04-30,14.48,14.58,14.01,14.09,928070
2021-04-29,15.03,15.06,14.24,14.56,703945
2021-04-28,14.67,15.01,14.33,14.94,644633
2021-04-27,14.88,15.22,14.76,14.77,466078
2021-04-26,15.53,15.62,14.77,14.9,645699
2021-04-23,15.08,15.67,15.0,15.47,629596
2021-04-22,15.05,15.4899,14.75,15.03,623462
2021-04-21,14.46,15.2,14.2,15.04,1374616
2021-04-20,14.94,15.162,14.36,14.47,812761
2021-04-19,15.01,15.14,14.53,15.04,1116873
2021-04-16,14.94,15.32,14.43,15.17,594704
2021-04-15,15.44,15.44,14.745,14.84,700495
2021-04-14,15.46,15.67,15.02,15.24,548982
2021-04-13,15.33,15.67,15.07,15.56,940566
2021-04-12,16.35,17.88,14.771,15.25,2579222
2021-04-09,16.23,16.54,16.08,16.39,256508
2021-04-08,16.07,16.72,15.875,16.32,843850
2021-04-07,16.12,16.2,15.7,15.96,577272
2021-04-06,16.36,16.8499,16.13,16.31,546625
2021-04-05,16.62,16.65,15.41,16.28,1273795
2021-04-01,16.82,16.99,16.03,16.42,832137
2021-03-31,16.36,16.98,16.12,16.64,998070
2021-03-30,15.55,16.39,15.55,16.18,642663
2021-03-29,16.44,16.79,15.5,15.52,819415
2021-03-26,16.35,16.81,16.04,16.63,545635
2021-03-25,15.26,16.34,15.0605,16.21,799247
2021-03-24,16.41,16.62,15.51,15.55,1368925
2021-03-23,16.75,17.16,16.18,16.36,759118
2021-03-22,17.51,17.68,16.71,16.96,594636
2021-03-19,17.5,18.14,17.27,17.51,2057277
2021-03-18,17.83,18.57,17.33,17.53,629324
